,season,episode,title,speaker,line,category
225,2,21,Conflict Resolution,Oscar,"I don't like looking at it. It's creepy, and in bad taste, and it's just offensive to me. It makes me think of the horrible, frigid stage mothers who force the babies into it. It's kitsch. It's the opposite of art. It destroys art. It destroys souls. This is so much more offensive to me than hardcore porno. I'm talking about the...",Opinions
226,2,21,Conflict Resolution,Toby,"Every Friday at 4, I have a standing appointment with Dwight for him to file a grievance against Jim. I tell him that I'm sending them to a special file in New York. That box is the special file in New York.",HR
227,2,21,Conflict Resolution,Toby,"Actually, I have a separate folder for complaints against Michael. This is January through March of this year. ",HR
228,2,21,Conflict Resolution,Toby,"Yeah, it just means whoever complained came to me later and withdrew it, so I took their name off.",HR
229,2,22,Casino Night,Jan," Yeah, but... Well, the fact of the matter is that your branch is currently number four of the five branches that I oversee.",Logistics
230,2,22,Casino Night,Jan,I thought that you were their fearless leader.,Logistics
231,2,22,Casino Night,Oscar,It'd be nice to do something for people who are actually suffering.,Opinions
232,2,22,Casino Night,Angela,"You have to pick an approved, non-profit organization.",Logistics
233,2,22,Casino Night,Angela,"We are giving money that has been gambled. Why don't we just deal drugs or prostitute ourselves, and donate that money to charity?",Opinions
234,2,22,Casino Night,Toby,"Actually, I didn't think it was appropriate to invite children since it's... You know, there's gambling and alcohol, and it's in our dangerous warehouse and it's a school night... And, you know, Hooters is catering. You know, is that enough? Should I keep going?",Logistics
235,2,22,Casino Night,Jan,"I could use a little fun. So, I am going to drive up for your Casino Night.",Logistics
236,2,22,Casino Night,Jan,"Incidentally, what is the charity?",Logistics
237,2,22,Casino Night,Jan,"Okay, then. I will see you tonight.",Logistics
238,2,22,Casino Night,Toby,I have good cards.,Opinions
239,2,22,Casino Night,Toby,"I don't really play cards, but I'm not gonna lie to you. It felt really good to take money from Michael. Gonna chase that feeling.",Humour
240,2,22,Casino Night,Jan,"Left work early, drove down here. And I am completely underdressed",Logistics
241,2,22,Casino Night,Jan,Why did I hook up with Michael?,Personal
242,2,22,Casino Night,Jan,"It was very late, Jim. Very... Very late and... Have you given any more thought to the transfer?",Logistics
