season,episode,title,scene,speaker,line,Unnamed: 6
2,21,Conflict Resolution,1118,Angela,"I got this poster for Christmas, and I feel I want to see it everyday. It makes me feel like the babies are the true artists, and God has a really cute sense of humor.",
2,21,Conflict Resolution,1118,Oscar,"I don't like looking at it. It's creepy, and in bad taste, and it's just offensive to me. It makes me think of the horrible, frigid stage mothers who force the babies into it. It's kitsch. It's the opposite of art. It destroys art. It destroys souls. This is so much more offensive to me than hardcore porno. I'm talking about the...",
2,21,Conflict Resolution,1123,Toby,"Every Friday at 4, I have a standing appointment with Dwight for him to file a grievance against Jim. I tell him that I'm sending them to a special file in New York. That box is the special file in New York.",
2,21,Conflict Resolution,1127,Toby,"Actually, I have a separate folder for complaints against Michael. This is January through March of this year. ",
2,21,Conflict Resolution,1128,Toby,"Yeah, it just means whoever complained came to me later and withdrew it, so I took their name off.",
2,22,Casino Night,1169,Jan," Yeah, but... Well, the fact of the matter is that your branch is currently number four of the five branches that I oversee.",
2,22,Casino Night,1169,Jan,I thought that you were their fearless leader.,
2,22,Casino Night,1171,Oscar,It'd be nice to do something for people who are actually suffering.,
2,22,Casino Night,1171,Angela,"You have to pick an approved, non-profit organization.",
2,22,Casino Night,1174,Angela,"We are giving money that has been gambled. Why don't we just deal drugs or prostitute ourselves, and donate that money to charity?",
2,22,Casino Night,1175,Toby,"Actually, I didn't think it was appropriate to invite children since it's... You know, there's gambling and alcohol, and it's in our dangerous warehouse and it's a school night... And, you know, Hooters is catering. You know, is that enough? Should I keep going?",
2,22,Casino Night,1190,Jan,"I could use a little fun. So, I am going to drive up for your Casino Night.",
2,22,Casino Night,1190,Jan,"Incidentally, what is the charity?",
2,22,Casino Night,1190,Jan,"Okay, then. I will see you tonight.",
2,22,Casino Night,1198,Toby,I have good cards.,
2,22,Casino Night,1199,Toby,"I don't really play cards, but I'm not gonna lie to you. It felt really good to take money from Michael. Gonna chase that feeling.",
2,22,Casino Night,1213,Jan,"Left work early, drove down here. And I am completely underdressed",
2,22,Casino Night,1213,Jan,Why did I hook up with Michael?,
2,22,Casino Night,1213,Jan,"It was very late, Jim. Very... Very late and... Have you given any more thought to the transfer?",
2,22,Casino Night,1216,Jan,"So, I just wanted to congratulate you on a fantastic evening. You did the company proud.",
2,22,Casino Night,1216,Jan,"And thanks for inviting me. You were right, I needed it. So, thanks.",
3,1,Gay Witch Hunt,1220,Toby,"OK I think Oscar would just like if you used ""lame"" or something like that.",
3,1,Gay Witch Hunt,1221,Toby,"Apparently you called Oscar ""faggie"" for liking the movie Shakespeare in Love more than an action movie.",
3,1,Gay Witch Hunt,1221,Toby,"All right Michael, but Oscar's really gay.",
3,1,Gay Witch Hunt,1221,Toby,"No, I mean he's attracted to other men.",
3,1,Gay Witch Hunt,1221,Toby,"OK, I am telling you, Oscar is an actual homosexual. Yeah, he told me this morning. And, obviously he hopes he can count on your discretion.",
3,1,Gay Witch Hunt,1225,Oscar,"No, I'm not gay. And I don't understand why anyone would think, that I'm gay... if...  Uh... yeah I'm gay.",
3,1,Gay Witch Hunt,1243,Oscar,"Yes I'm super cool. I am an accountant at a failing paper supply company, Scranton. Much like, um, sir Ian McClellan.",
3,1,Gay Witch Hunt,1244,Angela,"Sure, sometimes I watch Will and Grace... and I want to throw up. It's terribly loud. I do like it sometimes when Harry Connick Jr. is on. He's so talented.",
3,1,Gay Witch Hunt,1246,Jan,"You know, it's amazing to me that in this day and age, you could be so obtuse about sexual orientation.",
3,1,Gay Witch Hunt,1246,Toby,"OK, Michael, are you aware that you ousted Oscar today?",
3,1,Gay Witch Hunt,1246,Jan,"Coming out, is a significant moment for a gay person, and they should be allowed to select the timing and manner of announcing it.",
3,1,Gay Witch Hunt,1246,Toby,"All right, now Oscar's feeling discriminated against by his co-workers, primarily Angela, and um, that's your fault.",
3,1,Gay Witch Hunt,1246,Jan,"No, it's not possible.",
3,1,Gay Witch Hunt,1246,Jan,"You know, imagine... you were gay.",
3,1,Gay Witch Hunt,1246,Jan,"Michael, your immaturity is extremely disappointing and may even lead to a lawsuit which is the absolute last thing this company needs right now. Do you understand?",
3,1,Gay Witch Hunt,1248,Oscar,Am I the first gay man you ever knew?,
3,1,Gay Witch Hunt,1251,Angela,Watching some of your friends.,
3,1,Gay Witch Hunt,1254,Oscar,"Yes I'm gay. And I didn't plan on sharing that part of my life with you today, so, whatever. Can I sit down now?",
3,1,Gay Witch Hunt,1257,Oscar,No one else in this office is gay.,
3,1,Gay Witch Hunt,1258,Oscar,You sound pretty defensive Michael.,
3,1,Gay Witch Hunt,1259,Oscar,"I don't think I can work here any longer. This has been the worst, most backwards day of my life.",
3,1,Gay Witch Hunt,1260,Oscar,"No, NO! I don't want to touch you, ever consider that? You're ignorant, and insulting, and small!",
3,1,Gay Witch Hunt,1260,Oscar,"Michael... I'm sorry. That was a good idea. Come on, come on. ",
3,1,Gay Witch Hunt,1266,Oscar,"I was going to quit. But Jan offered me a three month paid vacation and a company car. All I had to do was sign something saying I won't sue. Gill and I are going to Europe. Kids, sometimes it pays to be gay.",
3,2,The Convention,1272,Angela,I know! It... I was just really hoping we could spend some time together.  Are you still there?,
3,2,The Convention,1272,Angela,"Don't ""Monkey"" me! You can't wait to get out of here, A. R. M.",
3,2,The Convention,1273,Angela,"In the Martin family, we like to say, ""Looks like someone took the slow train from Philly."" That's code for ""check out the slut."" What is... why are there flies in here?",
3,2,The Convention,1277,Angela,"That was for per diem, for Philadelphia.",
3,2,The Convention,1285,Jan,"Great, let's dump our stuff and meet back here in half an hour.",
3,2,The Convention,1296,Jan,"Michael, um... Jim and Josh are in meetings all day. And I am in and out of meetings. I can't stay on top of you 24/7.",
